,ID,Latitude,Longitude,PLANTED,HARVESTED
1,67971,35.24639015,-87.09308624,4/25/17,9/30/17
2,68550,41.57485625,-84.76854607,6/2/17,11/29/17
3,68110,40.21565235,-84.03124809,4/19/17,10/10/17
4,71395,42.58272543,-96.57869694,5/13/17,11/6/17
5,68447,37.27671645,-95.53792477,4/10/17,9/5/17
6,68284,35.81217548,-90.46151161,5/9/17,10/2/17
7,68695,40.949793,-83.07342052,4/24/17,11/4/17
8,67997,39.04937142,-93.19392762,4/19/17,9/30/17
9,68178,42.49486571,-89.6784038,5/5/17,10/10/17
10,57890,39.67522015,-94.7042942,4/11/17,9/11/17
11,70409,37.19526642,-88.05334478,4/5/17,10/16/17
12,70708,38.67971416,-93.95636559,5/10/17,10/20/17
13,71559,39.72980689,-82.38919973,5/15/17,11/14/17
14,70452,36.97,-88.82,5/9/17,10/5/17
15,68546,41.3835027,-84.67982875,6/1/17,11/10/17
16,68681,39.24656225,-93.51270676,5/10/17,10/3/17
17,70445,37.99575684,-94.39624786,5/10/17,9/23/17
18,70477,37.99372763,-94.42714691,5/13/17,9/27/17
19,68176,37.07,-86.48,5/3/17,10/6/17
20,68019,36.70106184,-87.53492117,4/8/17,9/13/17
21,68372,41.25384448,-84.20201748,5/18/17,11/14/17
22,67988,39.18813016,-93.74417943,4/13/17,9/13/17
23,69419,36.75882835,-85.32986641,4/25/17,10/31/17
24,69423,38.57172309,-84.40950394,4/25/17,10/20/17
25,68044,39.37299015,-92.0044899,4/24/17,9/20/17
26,57896,37.69135974,-87.06810951,4/13/17,9/7/17
27,68000,39.11796063,-93.39616509,4/19/17,9/26/17
28,68583,39.66623516,-83.65917206,6/1/17,10/1/17
29,70439,39.31318808,-92.62881241,4/18/17,9/19/17
30,70446,38.10795231,-94.24132347,4/13/17,9/21/17
31,70447,38.21876193,-94.33084488,4/13/17,9/23/17
32,68693,40.77629241,-83.0155921,5/15/17,10/23/17
33,70719,41.50246672,-83.78128701,5/16/17,10/17/17
34,68085,38.86590949,-92.83447266,4/18/17,9/27/17
35,68084,38.76927572,-92.86022186,4/18/17,9/27/17
36,68090,38.75174054,-92.86039352,4/18/17,9/27/17
37,71215,39.35,-92.03,4/10/17,9/27/17
38,57904,39.06031003,-93.07646559,4/13/17,10/30/17
39,57937,37.31130101,-89.691149,4/14/17,9/15/17
40,68236,37.73562982,-87.54949093,5/9/17,10/6/17
41,57895,37.70789621,-87.69742012,4/12/17,9/25/17
42,68490,43.84439341,-92.10087776,5/8/17,11/14/17
43,70474,37.52824272,-94.33505058,3/18/17,9/5/17
44,68756,41.12158614,-84.69437599,5/16/17,11/1/17
45,67999,39.11674295,-93.23903561,4/14/17,9/25/17
46,68170,40.92447337,-83.97665977,4/26/17,10/19/17
47,71468,41.60299063,-84.26755503,5/15/17,11/10/17
48,68042,39.40960571,-92.89058447,4/17/17,10/9/17
49,68331,41.63541935,-83.8951674,5/17/17,10/18/17
50,67970,35.28962787,-87.32774734,4/11/17,9/19/17
51,68763,40.69676215,-83.11700106,4/25/17,10/26/17
52,57892,36.69880102,-87.26505793,4/11/17,9/11/17
53,67969,35.73358909,-87.03051567,4/17/17,9/17/17
