"xmin","xmax","ymin","ymax","name"
-148,-146,58,60,"0016/0017"
-146,-144,58,60,"0016/0018"
-144,-142,58,60,"0016/0019"
-142,-140,58,60,"0016/0020"
-140,-138,58,60,"0016/0021"
-138,-136,58,60,"0016/0022"
-136,-134,58,60,"0016/0023"
-134,-132,58,60,"0016/0024"
-132,-130,58,60,"0016/0025"
-130,-128,58,60,"0016/0026"
-128,-126,58,60,"0016/0027"
-126,-124,58,60,"0016/0028"
-124,-122,58,60,"0016/0029"
-122,-120,58,60,"0016/0030"
-120,-118,58,60,"0016/0031"
-118,-116,58,60,"0016/0032"
-116,-114,58,60,"0016/0033"
-114,-112,58,60,"0016/0034"
-112,-110,58,60,"0016/0035"
-110,-108,58,60,"0016/0036"
-108,-106,58,60,"0016/0037"
-106,-104,58,60,"0016/0038"
-104,-102,58,60,"0016/0039"
-102,-100,58,60,"0016/0040"
-100,-98,58,60,"0016/0041"
-98,-96,58,60,"0016/0042"
-96,-94,58,60,"0016/0043"
-94,-92,58,60,"0016/0044"
-92,-90,58,60,"0016/0045"
-82,-80,58,60,"0016/0050"
-80,-78,58,60,"0016/0051"
-78,-76,58,60,"0016/0052"
-76,-74,58,60,"0016/0053"
-74,-72,58,60,"0016/0054"
-72,-70,58,60,"0016/0055"
-70,-68,58,60,"0016/0056"
-68,-66,58,60,"0016/0057"
-66,-64,58,60,"0016/0058"
-64,-62,58,60,"0016/0059"
-62,-60,58,60,"0016/0060"
-60,-58,58,60,"0016/0061"
-8,-6,58,60,"0016/0087"
-6,-4,58,60,"0016/0088"
-4,-2,58,60,"0016/0089"
-2,0,58,60,"0016/0090"
0,2,58,60,"0016/0091"
2,4,58,60,"0016/0092"
4,6,58,60,"0016/0093"
6,8,58,60,"0016/0094"
8,10,58,60,"0016/0095"
10,12,58,60,"0016/0096"
12,14,58,60,"0016/0097"
14,16,58,60,"0016/0098"
16,18,58,60,"0016/0099"
18,20,58,60,"0016/0100"
20,22,58,60,"0016/0101"
